23,-0.021935908,111.007,51,933318000
21,-0.963796496,109.114,35,934527600
22,-1.002231479,100.43,35,935737200
24,-0.839198291,89.968,19,937033200
18,-1.077192783,60.27,19,938415600
20.9,-0.923644483,86.203,9,939625200
23.8,-0.361473858,77.125,9,940834800
20,0.22248739,68.673,3,942048000
17,-0.037295915,59.064,3,943257600
16,-0.424231201,56.375,0,944467200
17.5,-0.681455314,50.929,0,945676800
15.5,-0.717787385,51.307,0,946972800
16.5,-0.5407511,52.918,0,948096000
20,0.049332429,50.441,0,949392000
20.5,-0.04433085,58.843,0,950688000
19.5,-0.194509447,65.691,4,951984000
18.5,-0.358999878,69.985,4,953190000
22,-0.18990548,82.067,4,954399600
23,0.508175731,102.714,35,955609200
24,0.599069476,108.167,35,956818800
27,0.818001568,107.805,57,958114800
23,0.822872937,101.833,57,959324400
25,0.95332998,121.919,60,960447600
24,1.313684106,112.737,60,961657200
22,1.957616329,110.533,56,962866800
22.5,0.66747272,109.651,56,964076400
22.5,0.224925742,100.982,43,965286000
25,0.424402744,103.048,43,966495600
19.5,0.304625064,85.169,43,967705200
20.75,0.129812375,97.187,17,969001200
22,0.586824775,71.452,17,970210800
20.5,0.377101511,67.823,8,971420400
22,-0.400486618,67.347,8,972543600
19.7,-0.696444929,53.756,3,973843200
17.4,-1.04936409,58.678,3,975312000
14.9,-0.602103055,45.254,1,976608000
14.5,0.045718383,53.454,1,977904000
